order_id,order_date,ship_date,customer_name,country,city,state,category,product_name,sales,quantity,profit,year,month
CA-2013-138688,13-06-2013,17-06-2013,Darrin Van Huff,United States,Los Angeles,California,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,6.8714,2013,6
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,14.1694,2011,6
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Art,Newell 322,7.28,4,1.9656,2011,6
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Phones,Mitel 5320 IP Phone VoIP phone,907.152,4,90.7152,2011,6
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,5.7825,2011,6
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,34.47,2011,6
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,85.3092,2011,6
CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,United States,Los Angeles,California,Phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,911.424,4,68.3568,2011,6
CA-2013-161389,06-12-2013,11-12-2013,Irene Maddox,United States,Seattle,Washington,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,132.5922,2013,12
CA-2011-167164,13-05-2011,15-05-2011,Alejandro Grove,United States,West Jordan,Utah,Storage,Fellowes Super Stor/Drawer,55.5,2,9.99,2011,5
CA-2011-143336,27-08-2011,01-09-2011,Zuschuss Donatelli,United States,San Francisco,California,Art,Newell 341,8.56,2,2.4824,2011,8
CA-2011-143336,27-08-2011,01-09-2011,Zuschuss Donatelli,United States,San Francisco,California,Phones,Cisco SPA 501G IP Phone,213.48,3,16.011,2011,8
CA-2011-143336,27-08-2011,01-09-2011,Zuschuss Donatelli,United States,San Francisco,California,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,7.384,2011,8
CA-2012-106320,25-09-2012,30-09-2012,Emily Burns,United States,Orem,Utah,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,240.2649,2012,9
CA-2013-121755,16-01-2013,20-01-2013,Eric Hoffmann,United States,Los Angeles,California,Binders,Wilson Jones Active Use Binders,11.648,2,4.2224,2013,1
CA-2013-121755,16-01-2013,20-01-2013,Eric Hoffmann,United States,Los Angeles,California,Accessories,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,90.57,3,11.7741,2013,1
CA-2013-101343,18-07-2013,23-07-2013,Ruben Ausman,United States,Los Angeles,California,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,3.894,2013,7
CA-2012-135545,24-11-2012,30-11-2012,Kunst Miller,United States,Los Angeles,California,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,6.1512,2012,11
CA-2012-135545,24-11-2012,30-11-2012,Kunst Miller,United States,Los Angeles,California,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,9.3612,2012,11
